com,25270000000
org,6870000000
edu,592000000
net,1480000000
gov,892000000
uk,1740000000
de,4530000000
au,839000000
ca,1190000000
fr,2670000000
us,561000000
br,931000000
it,1310000000
info,346000000
es,813000000
nl,1490000000
tv,1650000000
jp,732000000
se,1190000000
pl,999000000
ru,761000000
eu,849000000
dk,473000000
mx,202000000
ch,544000000
ar,173000000
in,167000000
int,38000000
za,162000000
id,143000000
ie,480000000
nz,206000000
tw,206000000
tr,157000000
gr,217000000
cl,476000000
be,778000000
at,688000000
no,1220000000
ve,36300000
kr,5440000000
fm,1710000000
eg,22300000
st,17900000
co,168000000
vn,921000000
cc,181000000
me,182000000
cz,1030000000
pt,268000000
io,33200000
my,60500000
ro,164000000
hu,495000000
travel,23500000
biz,74200000
nu,38600000
is,288000000
to,41500000
fi,447000000
cn,351000000
